"","","lng","lat"
"270","netleyabbey","-1.339045","50.866266"
"271","rotherham","-1.34428","53.431603"
"272","poolsbrook","-1.348507","53.258308"
"273","shipleycountry","-1.359858","53.000968"
"275","eastleigh","-1.3737899","50.9677078"
"276","nostell","-1.389583","53.652775"
"277","wetherby","-1.39219","53.9257"
"278","southshields","-1.394577","54.988646"
"279","southampton","-1.410584","50.928304"
"280","sunderland","-1.413331","54.882038"
"281","sheffieldcastle","-1.4326","53.368633"
"282","concord","-1.434445","53.426642"
"283","northallerton","-1.435328","54.348382"
"284","whitleybay","-1.450624","55.053399"
"285","templenewsam","-1.454616","53.781358"
"286","graves","-1.466675","53.335742"
"287","sedgefield","-1.46852","54.655389"
"288","bedworth","-1.470312","52.475939"
"289","rothwell","-1.471544","53.750941"
"290","barnsley","-1.488025","53.542985"
"291","roundhay","-1.499355","53.837614"
"292","hillsborough","-1.500578","53.407946"
"293","markeaton","-1.505878","52.934582"
"294","andover","-1.508431","51.220889"
"295","leamington","-1.509418","52.290738"
"296","newbigginbythesea","-1.510234","55.18484"
"297","wakefieldthornes","-1.510234","53.672917"
"298","sheffieldhallam","-1.511006","53.367762"
"299","witney","-1.51482","51.791275"
"300","coventry","-1.522121","52.391211"
"301","harrogate","-1.524739","53.991057"
"302","risingsun","-1.5290955","55.019374"
"303","conkers","-1.539159","52.733329"
"304","lymingtonwoodside","-1.545457","50.748214"
"305","crossflatts","-1.556067","53.773548"
"306","middletonwoods","-1.55707","53.75196"
"307","darlingtonsouthpark","-1.557999","54.514916"
"308","woodhousemoor","-1.558127","53.810725"
"309","durham","-1.56241","54.7753"
"310","riverside","-1.563535","54.855194"
"311","windynook","-1.567998","54.93968"
"312","fountainsabbey","-1.577826","54.112452"
"313","druridgebay","-1.5798","55.293877"
"314","armley","-1.5954638","53.8016013"
"315","gateshead","-1.604347","54.945571"
"316","newcastle","-1.620526","54.989409"
"317","bramley","-1.634774","53.813524"
"318","rosliston","-1.639334","52.754545"
"319","brockenhurst","-1.642381","50.808308"
"320","hackworth","-1.647177","54.629785"
"321","dewsbury","-1.647584","53.688816"
"322","catterick","-1.649558","54.387024"
"323","oakwellhall","-1.670635","53.740707"
"324","bakewell","-1.675265","53.230855"
"325","kingsburywater","-1.692796","52.560699"
"326","stratforduponavon","-1.701442","52.185465"
"327","marlboroughcommon","-1.732506","51.424492"
"328","gibside","-1.7327284","54.919401"
"329","brueton","-1.767576","52.408859"
"330","bradford","-1.771803","53.812612"
"331","hortonpark","-1.775386","53.782499"
"332","brighouse","-1.778144","53.706075"
"333","salisbury","-1.789945","51.061924"
"334","huddersfield","-1.79723","53.648924"
"335","bournemouth","-1.833429","50.734663"
"336","blackhill","-1.839545","54.858097"
"337","moorsvalley","-1.849421","50.851205"
"338","suttonpark","-1.860654","52.559809"
"339","swindon","-1.861582","51.563519"
"340","prudhoeriverside","-1.863175","54.968075"
"341","halifax","-1.8772006","53.7318109"
"342","cannon-hill","-1.905742","52.44955"
"343","perryhall","-1.910607","52.52429"
"344","arrowvalley","-1.911278","52.304779"
"345","cliffecastle","-1.912925","53.875025"
"346","glossop","-1.940299","53.448644"
"347","evesham","-1.958098","52.090173"
"348","poole","-1.967196","50.719069"
"349","walsall","-1.968795","52.589303"
"350","sandwellvalley","-1.9731188","52.5195634"
"351","cirencester","-1.99249","51.710275"
"352","cannockchase","-1.995446","52.737467"
"353","uptonhouse","-2.013427","50.73488"
"354","skipton","-2.031655","53.961969"
"355","lymepark","-2.052555","53.341533"
"357","marple","-2.058649","53.404748"
"358","cheltenham","-2.073669","51.910047"
"359","stamfordpark","-2.0760298","53.4915691"
"360","hyde","-2.076534","53.457127"
"362","oldham","-2.103968","53.534072"
"363","chippenham","-2.107229","51.457644"
"364","macclesfield","-2.13021","53.251416"
"365","dudley","-2.134491","52.490052"
"366","melksham","-2.135677","51.37768"
"367","watergrove","-2.137184","53.662544"
"368","woodbank","-2.139223","53.410721"
"369","wolverhampton","-2.139909","52.589401"
"371","tewkesbury","-2.157987","51.989657"
"372","chaddertonhall","-2.1585485","53.5540631"
"373","bramhall","-2.165787","53.374855"
"374","hanley","-2.176065","53.014396"
"375","blandford","-2.177353","50.868974"
"376","pendle","-2.18224","53.863802"
"377","worcester","-2.183533","52.188825"
"380","burnage","-2.208853","53.40746"
"381","cheadlehulme","-2.21199","53.379119"
"383","burnley","-2.218766","53.777187"
"384","southmanchester","-2.225118","53.447018"
"385","congleton","-2.22971","53.158737"
"386","gloucesternorth","-2.2317052","51.8783124"
"387","worcesterpitchcroft","-2.2320593","52.2016647"
"388","wilmslow","-2.2322202","53.3313663"
"389","southwickcountrypark","-2.233958","51.303897"
"390","thewammy","-2.237842","53.017907"
"391","gloucestercity","-2.24314","51.85871"
"392","heaton","-2.254686","53.533038"
"393","kingsway","-2.272893","51.821057"
"394","wythenshawe","-2.281809","53.403264"
"395","stonehouse","-2.288917","51.75334"
"396","stretford","-2.290231","53.446107"
"397","salewater","-2.29452","53.42959"
"398","bathskyline","-2.332234","51.368003"
"399","henstridgeairfield","-2.35276","50.985814"
"400","wotton","-2.36846","51.632862"
"401","worsleywoods","-2.369871","53.499841"
"402","wyreforest","-2.369936","52.36504"
"403","hyndburn","-2.378004","53.781029"
"404","clitheroecastle","-2.394731","53.870336"
"405","chippingsodbury","-2.395706","51.544814"
"406","bolton","-2.399397","53.574977"
"407","newent","-2.410078","51.926534"
"408","telford","-2.444872","52.670287"
"409","weymouth","-2.452655","50.630246"
"411","crewe","-2.470129","53.098413"
"412","pomphreyhill","-2.478533","51.479111"
"413","northwich","-2.505763","53.269358"
"414","witton","-2.517017","53.740583"
"415","lydney","-2.526491","51.721605"
"417","thornbury","-2.530107","51.606369"
"418","sheptonmallet","-2.542466","51.187504"
"419","penningtonflash","-2.542992","53.489654"
"420","eastville","-2.554332","51.475456"
"421","warrington","-2.57535","53.379386"
"423","forest-of-dean","-2.602923","51.808416"
"424","haighwoodland","-2.609339","53.572696"
"425","ashton-court","-2.64895","51.445074"
"426","cuerdenvalley","-2.657189","53.709866"
"428","delamere","-2.675729","53.232987"
"429","phoenix","-2.6865864","53.3402264"
"430","preston","-2.698088","53.752365"
"431","yeovilmontacute","-2.70843","50.950154"
"432","penrith","-2.718387","54.656978"
"433","hereford","-2.723987","52.0703"
"434","street","-2.72911","51.129445"
"435","widnes","-2.7303489","53.3743368"
"436","sthelens","-2.743964","53.463168"
"437","shrewsbury","-2.763205","52.706056"
"438","ludlow","-2.773072","52.353272"
"440","lancaster","-2.781188","54.045676"
"441","knowsley","-2.81155","53.41076"
"443","ormskirk","-2.867056","53.557043"
"444","croxtethhall","-2.89185","53.442193"
"445","chester","-2.902343","53.207684"
"446","ellesmereport","-2.903008","53.27186"
"447","princes","-2.955328","53.386272"
"448","fellfoot","-2.957253","54.272542"
"449","carlisle","-2.960472","54.88568"
"451","lythamhall","-2.974613","53.743784"
"452","southport","-2.98517","53.65613"
"453","burnhamandhighbridge","-2.989848","51.226224"
"459","blackpool","-3.024286","53.812601"
"463","crosby","-3.04671","53.482683"
"464","birkenhead","-3.0484643","53.3962046"
"466","seaton","-3.072835","50.703185"
"467","ford","-3.08652","54.19957"
"468","keswick","-3.112993","54.608018"
"469","longrunmeadow","-3.120375","51.019262"
"474","barrow","-3.219144","54.118276"
"475","whinlatterforest","-3.22547","54.615129"
"478","millom","-3.268773","54.214143"
"488","exmouth","-3.412399","50.614686"
"492","killerton","-3.463268","50.793458"
"494","teignmouthpromenade","-3.494937","50.544426"
"496","exeterriverside","-3.516397","50.707765"
"499","workington","-3.539727","54.647169"
"500","torbayvelopark","-3.567231","50.42363"
"501","whitehaven","-3.573732","54.524693"
"504","parke","-3.693423","50.597132"
"515","barnstaple","-4.056444","51.07201"
"518","plymvalley","-4.078621","50.409365"
"520","mountedgcumbe","-4.175612","50.354434"
"522","bideford","-4.204363","51.023372"
"523","tamartrails","-4.205155","50.534679"
"535","tamarlakes","-4.438219","50.884734"
"542","lanhydrock","-4.689188","50.439195"
"543","edenproject","-4.744621","50.361518"
"548","trelissick","-5.028251","50.217327"
"549","heartlands","-5.271485","50.224207"
"550","penrose","-5.282042","50.095752"
